LOAN_ID,LOAN_STATUS,LOAN_AMOUNT,LOAN_TERM,INTREST,INSTALLMENT,GRADE,PURPOSE,HOME_OWNERSHIP,ANNUAL_INCOME,AVERAGE_CURRENT_BALANCE,TOTAL_CURRENT_BALANCE,ISSUE_YEAR,STATE,SUBREGION
120929,Fully Paid,12000, 36 months,11.55,396,B,Debt_consolidation,,0,0,0,2013,NY,Middle Atlantic
151309,Fully Paid,15000, 36 months,12.12,499.08,B,Debt_consolidation,,0,0,0,2012,IL,East North Central
221124,Fully Paid,24500, 36 months,7.9,766.62,A,Credit_card,,0,0,0,2013,TX,West South Central
221124,Fully Paid,24500, 36 months,7.9,766.62,A,Credit_card,,0,0,0,2013,TX,West South Central
9664,Charged Off,3000, 36 months,8.9,95.26,A,Medical,,0,0,0,2012,CA,19200
50162,Fully Paid,6500, 36 months,14.33,223.2,C,Debt_consolidation,,0,0,0,2013,IN,East North Central
50162,Fully Paid,6500, 36 months,14.33,223.2,C,Debt_consolidation,,0,0,0,2013,IN,East North Central
68353,Fully Paid,8000, 36 months,15.22,278.19,C,Other,,0,0,0,2013,FL,19200
93056,Fully Paid,10000, 36 months,12.35,333.82,B,Debt_consolidation,,0,0,0,2013,NV,Mountain
141038,Fully Paid,14000, 60 months,19.72,368.74,D,Debt_consolidation,,0,0,0,2013,PA,Middle Atlantic
141038,Fully Paid,14000, 60 months,19.72,368.74,D,Debt_consolidation,,0,0,0,2013,PA,Middle Atlantic
206211,Current,21000, 60 months,14.49,493.99,C,Debt_consolidation,,0,0,0,2014,WV,South Atlantic
207259,Fully Paid,21200, 60 months,24.5,616.05,F,Debt_consolidation,,0,0,0,2013,TN,East South Central
213322,Fully Paid,23375, 60 months,23.63,667.45,F,Debt_consolidation,,0,0,0,2012,NC,South Atlantic
214701,Current,24000, 36 months,6.03,730.46,A,Debt_consolidation,Mortgage,185000,24540,392634,2014,FL,19200
221014,Current,24375, 60 months,24.08,702.36,F,Debt_consolidation,,0,0,0,2013,TX,West South Central
221014,Current,24375, 60 months,24.08,702.36,F,Debt_consolidation,,0,0,0,2013,TX,West South Central
221901,Current,25000, 36 months,6.49,766.12,A,Debt_consolidation,,0,0,0,2014,FL,19200
49393,Fully Paid,6500, 36 months,6.49,199.19,A,Credit_card,,0,0,0,2014,IL,East North Central
57373,Charged Off,7200, 36 months,14.33,247.24,C,Home_improvement,Own,25000,3818,87817,2013,KS,West North Central
80305,Fully Paid,9600, 36 months,15.22,333.83,C,Debt_consolidation,,0,0,0,2013,OK,West South Central
81159,Fully Paid,9800, 36 months,14.33,336.52,C,Debt_consolidation,,0,0,0,2013,TX,West South Central
81159,Fully Paid,9800, 36 months,14.33,336.52,C,Debt_consolidation,,0,0,0,2013,TX,West South Central
81969,Fully Paid,10000, 36 months,14.09,342.22,B,Credit_card,Mortgage,70000,30222,241776,2013,CO,Mountain
109869,Charged Off,11000, 36 months,10.16,355.77,B,Debt_consolidation,,0,0,0,2013,AZ,Mountain
148845,Current,15000, 36 months,9.17,478.19,B,Debt_consolidation,,0,0,0,2014,PA,Middle Atlantic
148845,Current,15000, 36 months,9.17,478.19,B,Debt_consolidation,,0,0,0,2014,PA,Middle Atlantic
175929,Charged Off,18000, 60 months,15.61,434.01,D,Credit_card,,0,0,0,2014,NY,Middle Atlantic
69281,Fully Paid,8000, 36 months,18.49,291.19,D,Credit_card,,0,0,0,2012,NY,Middle Atlantic
174565,Fully Paid,17475, 36 months,15.31,608.44,C,Other,,0,0,0,2012,CA,19200
176961,Fully Paid,18000, 36 months,7.69,561.49,A,Other,,0,0,0,2014,NJ,Middle Atlantic
195572,Fully Paid,20000, 36 months,18.25,725.56,D,Credit_card,Rent,98000,1989,33818,2013,CA,19200
261555,Fully Paid,35000, 60 months,21.49,956.55,E,Debt_consolidation,,0,0,0,2013,NJ,Middle Atlantic
11777,Fully Paid,3000, 36 months,17.27,107.37,C,Debt_consolidation,,0,0,0,2013,FL,19200
21430,Fully Paid,4325, 36 months,11.14,141.89,B,Medical,,0,0,0,2012,MN,West North Central
21430,Fully Paid,4325, 36 months,11.14,141.89,B,Medical,,0,0,0,2012,MN,West North Central
35071,Fully Paid,5200, 36 months,19.72,192.51,D,Moving,,0,0,0,2013,NJ,Middle Atlantic
76562,Fully Paid,9000, 36 months,14.33,309.05,C,Credit_card,Mortgage,48000,11600,185604,2013,TX,West South Central
76562,Fully Paid,9000, 36 months,14.33,309.05,C,Credit_card,Mortgage,48000,11600,185604,2013,TX,West South Central
113162,Fully Paid,11300, 36 months,18.75,412.79,D,Other,,0,0,0,2013,TX,West South Central
113162,Fully Paid,11300, 36 months,18.75,412.79,D,Other,,0,0,0,2013,TX,West South Central
139661,Fully Paid,14000, 36 months,19.05,513.54,D,Other,,0,0,0,2013,MO,West North Central
161345,Fully Paid,15925, 60 months,15.61,383.98,D,Credit_card,,0,0,0,2014,KS,West North Central
184452,Current,19125, 60 months,14.33,448.29,C,Debt_consolidation,,0,0,0,2013,SC,South Atlantic
184452,Current,19125, 60 months,14.33,448.29,C,Debt_consolidation,,0,0,0,2013,SC,19200
200244,Fully Paid,20000, 60 months,16.29,489.45,C,Debt_consolidation,,0,0,0,2013,CA,19200
213696,Fully Paid,23675, 36 months,19.52,874.07,D,Home_improvement,,0,0,0,2013,GA,19200
225088,Fully Paid,25000, 36 months,14.33,858.46,C,Credit_card,,0,0,0,2013,GA,19200
234949,Current,28000, 36 months,6.49,858.05,A,Credit_card,,0,0,0,2014,PA,Middle Atlantic
234949,Current,28000, 36 months,6.49,858.05,A,Credit_card,,0,0,0,2014,PA,Middle Atlantic
247205,Fully Paid,30225, 36 months,14.33,1037.87,C,Home_improvement,,0,0,0,2013,CA,19200
21767,Fully Paid,4450, 36 months,20.49,166.5,E,Debt_consolidation,Rent,16730,598,5975,2013,TX,West South Central
21767,Fully Paid,4450, 36 months,20.49,166.5,E,Debt_consolidation,Rent,16730,598,5975,2013,TX,West South Central
115431,Fully Paid,12000, 60 months,17.27,299.98,C,Debt_consolidation,,0,0,0,2013,CA,19200
121853,Fully Paid,12000, 36 months,12.99,404.27,B,Debt_consolidation,,0,0,0,2013,UT,19200
171092,Fully Paid,16800, 60 months,13.11,383.2,B,Credit_card,,0,0,0,2013,CA,19200
215275,Current,24000, 36 months,7.69,748.65,A,Debt_consolidation,,0,0,0,2014,DC,South Atlantic
261337,Current,35000, 60 months,20.49,936.86,E,Debt_consolidation,,0,0,0,2013,AR,West South Central
261337,Current,35000, 60 months,20.49,936.86,E,Debt_consolidation,,0,0,0,2013,AR,West South Central
63965,Charged Off,8000, 36 months,8.9,254.03,A,Credit_card,,0,0,0,2013,OH,East North Central
70008,Charged Off,8125, 36 months,13.66,276.36,C,Home_improvement,Own,23998,1974,21711,2014,MN,West North Central
70008,Charged Off,8125, 36 months,13.66,276.36,C,Home_improvement,Own,23998,1974,21711,2014,MN,West North Central
110668,Fully Paid,11000, 36 months,17.27,393.66,C,Debt_consolidation,Mortgage,41870.52,14352,129164,2013,KY,East South Central
110668,Fully Paid,11000, 36 months,17.27,393.66,C,Debt_consolidation,Mortgage,41870.52,14352,129164,2013,KY,East South Central
150443,Fully Paid,15000, 36 months,11.14,492.08,B,Debt_consolidation,,0,0,0,2012,WA,19200
178907,Fully Paid,18000, 36 months,17.77,648.67,D,Credit_card,,0,0,0,2012,CA,19200
210804,Fully Paid,22250, 60 months,17.27,556.21,C,Debt_consolidation,,0,0,0,2013,MI,East North Central
214265,Fully Paid,24000, 36 months,6.62,736.89,A,Debt_consolidation,,0,0,0,2013,NJ,Middle Atlantic
221106,Fully Paid,24500, 36 months,8.6,774.55,A,Credit_card,,0,0,0,2013,CA,19200
224609,Charged Off,25000, 36 months,12.49,836.23,B,Debt_consolidation,Mortgage,65650,25306,278366,2014,NY,Middle Atlantic
235820,Fully Paid,28000, 36 months,13.11,944.92,B,Debt_consolidation,,0,0,0,2013,CA,19200
256192,Charged Off,35000, 36 months,13.98,1195.88,C,Debt_consolidation,,0,0,0,2014,TX,West South Central
256192,Charged Off,35000, 36 months,13.98,1195.88,C,Debt_consolidation,,0,0,0,2014,TX,West South Central
21045,Current,4200, 36 months,15.59,146.82,D,Other,,0,0,0,2014,CA,19200
91156,Fully Paid,10000, 36 months,11.14,328.06,B,Credit_card,,0,0,0,2013,GA,19200
102999,Fully Paid,10000, 60 months,18.24,255.25,D,Debt_consolidation,,0,0,0,2014,CA,19200
152027,Fully Paid,15000, 36 months,13.11,506.21,B,Debt_consolidation,,0,0,0,2013,CA,19200
209276,Fully Paid,22000, 36 months,7.9,688.39,A,Debt_consolidation,,0,0,0,2013,IL,East North Central
248955,Fully Paid,32000, 36 months,9.49,1024.91,B,Debt_consolidation,,0,0,0,2014,NY,Middle Atlantic
32630,Fully Paid,5000, 36 months,15.31,174.09,C,Medical,,0,0,0,2012,CA,19200
77651,Charged Off,9250, 36 months,8.9,293.72,A,Credit_card,,0,0,0,2012,MI,East North Central
78586,Fully Paid,9500, 36 months,18.75,347.04,D,Other,,0,0,0,2013,CA,19200
129041,Fully Paid,12125, 36 months,18.25,439.87,D,Small_business,,0,0,0,2013,CA,19200
168988,Fully Paid,16000, 60 months,18.75,412.86,D,Credit_card,,0,0,0,2012,GA,19200
179101,Fully Paid,18000, 36 months,23.28,699.41,F,Debt_consolidation,,0,0,0,2013,LA,West South Central
184653,Fully Paid,19200, 36 months,6.99,592.76,A,Debt_consolidation,,0,0,0,2014,CA,19200
207312,Fully Paid,21250, 60 months,24.7,619.99,G,Debt_consolidation,,0,0,0,2013,CA,19200
239066,Fully Paid,29375, 60 months,16.29,718.88,C,Debt_consolidation,,0,0,0,2013,VA,South Atlantic
45056,Fully Paid,6000, 36 months,14.09,205.33,B,Debt_consolidation,,0,0,0,2012,WV,South Atlantic
67106,Fully Paid,8000, 36 months,13.05,269.75,B,Debt_consolidation,,0,0,0,2013,OH,East North Central
73941,Fully Paid,8875, 36 months,14.33,304.76,C,Debt_consolidation,,0,0,0,2012,CA,19200
91182,Fully Paid,10000, 36 months,11.14,328.06,B,Debt_consolidation,,0,0,0,2013,MN,West North Central
91182,Fully Paid,10000, 36 months,11.14,328.06,B,Debt_consolidation,,0,0,0,2013,MN,West North Central
113874,Fully Paid,11500, 36 months,17.27,411.56,C,Debt_consolidation,,0,0,0,2013,NY,Middle Atlantic
133856,Fully Paid,13000, 36 months,16.29,458.91,C,Debt_consolidation,,0,0,0,2013,NJ,Middle Atlantic
174001,Fully Paid,17025, 36 months,12.35,568.33,B,Debt_consolidation,,0,0,0,2013,CA,19200
174548,Fully Paid,17475, 36 months,6.03,531.87,A,Debt_consolidation,,0,0,0,2013,VA,South Atlantic
187503,Fully Paid,20000, 36 months,12.12,665.44,B,Credit_card,,0,0,0,2013,TX,West South Central
187503,Fully Paid,20000, 36 months,12.12,665.44,B,Credit_card,,0,0,0,2013,TX,West South Central
187549,Fully Paid,20000, 36 months,14.33,686.77,C,Debt_consolidation,,0,0,0,2012,CA,19200
261411,In Grace Period,35000, 60 months,20.8,942.94,E,Credit_card,,0,0,0,2013,MD,19200
50468,Fully Paid,6575, 36 months,17.86,237.25,D,Debt_consolidation,,0,0,0,2014,CA,19200
79507,Fully Paid,9600, 36 months,10.16,310.49,B,Debt_consolidation,,0,0,0,2013,VA,South Atlantic
85884,Current,10000, 36 months,7.69,311.94,A,Debt_consolidation,,0,0,0,2014,MD,19200
92872,Fully Paid,10000, 36 months,12.12,332.72,B,Debt_consolidation,Own,72000,4635,32448,2013,CA,19200
139503,Fully Paid,14000, 36 months,16.2,493.59,C,Debt_consolidation,,0,0,0,2013,NJ,Middle Atlantic
142411,Fully Paid,14400, 36 months,13.11,485.96,B,Debt_consolidation,,0,0,0,2012,CT,New England
168536,Fully Paid,16000, 60 months,16.29,391.56,C,Debt_consolidation,,0,0,0,2013,DC,South Atlantic
181949,Fully Paid,18200, 60 months,15.8,440.66,C,Credit_card,,0,0,0,2013,GA,19200
185969,Charged Off,19500, 60 months,15.22,466.16,C,Debt_consolidation,,0,0,0,2013,NC,South Atlantic
243364,Charged Off,30000, 36 months,25.99,1208.56,G,Debt_consolidation,,0,0,0,2014,MI,East North Central
81979,Fully Paid,10000, 36 months,15.22,347.74,C,Major_purchase,,0,0,0,2013,FL,19200
97872,Fully Paid,10000, 36 months,17.27,357.88,C,Credit_card,,0,0,0,2013,NJ,Middle Atlantic
141347,Fully Paid,14075, 36 months,12.12,468.3,B,Credit_card,,0,0,0,2013,TX,West South Central
141347,Fully Paid,14075, 36 months,12.12,468.3,B,Credit_card,,0,0,0,2013,TX,West South Central
182039,Fully Paid,18250, 36 months,6.62,560.35,A,Debt_consolidation,Mortgage,47964,16660,183256,2013,VA,South Atlantic
207282,Current,21250, 60 months,16.29,520.04,C,Debt_consolidation,,0,0,0,2013,NC,South Atlantic
17237,Fully Paid,4000, 36 months,7.62,124.65,A,Credit_card,,0,0,0,2013,VA,South Atlantic
29312,Fully Paid,5000, 36 months,11.14,164.03,B,Debt_consolidation,,0,0,0,2013,MN,West North Central
29312,Fully Paid,5000, 36 months,11.14,164.03,B,Debt_consolidation,,0,0,0,2013,MN,West North Central
87218,Fully Paid,10000, 36 months,8.39,315.17,A,Home_improvement,,0,0,0,2014,AZ,Mountain
251331,Fully Paid,33000, 60 months,17.27,824.94,C,Debt_consolidation,,0,0,0,2013,MA,New England
8341,Fully Paid,2750, 36 months,19.72,101.81,D,Debt_consolidation,,0,0,0,2013,TX,West South Central
